label,temp_mean,temp_std,temp_min,temp_max,sound_rms_mean,sound_rms_std,sound_rms_max,accel_x_rms,accel_y_rms,accel_z_rms,accel_x_std,accel_y_std,accel_z_std,accel_x_ptp,accel_y_ptp,accel_z_ptp,accel_x_skew,accel_y_skew,accel_z_skew,accel_x_kurt,accel_y_kurt,accel_z_kurt
Normal,30.6,3.79801067982192e-15,30.6,30.6,1640.2232079604612,613.1992677182017,2161.1526504378744,0.1165759019952237,0.04529773167058148,1.0182730409530392,0.12456794301562042,0.04500339218008222,0.24897045112738062,0.330322,0.106201,0.59375,0.025666206275446593,0.10707913704148944,0.11835919637070383,-1.5375690789363687,-1.7642195392084172,-1.6579098723960595
Normal,30.6,0.0,30.6,30.6,1951.904945837623,0.0,1951.904945837623,0.099107,0.01074,0.873088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Normal,30.63076923076924,0.07510676161988081,30.6,30.8,1187.9078123814036,600.5938849173359,2194.422973491204,0.05490279013646967,0.05946076302907658,1.0106540675901234,0.054081864991050894,0.06001540202656528,0.21312447784037095,0.170654,0.184082,0.6594239999999999,0.1888326975657336,0.01926696264087508,0.21230170562466338,-0.912304592643773,-1.3060782001102385,-1.2350905117226927
Normal,30.8,7.421376833848022e-15,30.8,30.8,1516.588089822295,418.9236247298142,1979.169812676546,0.11145935114276714,0.0667454789686163,1.0882644850122603,0.1164013823578491,0.06969973623982743,0.21050817489654108,0.34594800000000003,0.227051,0.6408689999999999,-0.23659617932226795,0.6391467324758441,-0.3753228688522448,-1.2953818685641092,-0.5288353250449522,-1.0035737133295366
Normal,30.8,7.452235082682191e-15,30.8,30.8,1393.5666959216096,595.7144072516251,2188.189590711414,0.13423981152400355,0.03343468052785909,1.0326172757922198,0.13875398295786945,0.0349795279481117,0.22219879513776108,0.367676,0.10791,0.5461419999999999,-0.02622444753427456,0.4520471196740763,-0.011175211932965707,-1.3781798853361775,-0.9106052559323929,-1.755510121652644
Normal,30.8,7.421376833848022e-15,30.8,30.8,1635.135195992096,544.2201776131967,2175.121406549959,0.08046216837071113,0.038402508148340175,1.0330425417652216,0.08160924277139016,0.040007543303410206,0.1962627309146679,0.33154300000000003,0.138183,0.5749519999999999,0.20269736943822692,-0.5231158695465431,-0.1677427122162518,0.5637110712209235,-0.515372367238923,-1.220878075949334
Normal,30.8,7.452235082682191e-15,30.8,30.8,1476.2531678027467,473.9687390402147,2042.1967164749865,0.06553857379228871,0.018202469919816326,1.011675058155173,0.06856938879850104,0.014180880997122338,0.1791160785372537,0.23168899999999998,0.050048999999999996,0.555664,-0.13559154377820606,0.43629310925515397,0.1307297852631253,-0.6537612523398817,-0.32992161802149855,-0.96324896172464
Normal,30.8,3.744889033148481e-15,30.8,30.8,1253.0343101368937,692.352507797391,2193.270005689499,0.1072625797512814,0.021567901063849492,1.0932021117296655,0.11023613919224091,0.02249058234041776,0.21453520275195453,0.30542,0.07763700000000001,0.515137,-0.0602619615212393,0.5369484210796445,0.14052864089425054,-1.4286357507883105,-0.16149474565452326,-1.6542082331488115
Normal,30.8,3.744889033148481e-15,30.8,30.8,1128.5574466918083,553.7664646790811,2123.8962999372434,0.10939023627499851,0.03223491550942859,0.9842802924935559,0.11385707157099301,0.03373415739523764,0.21123507941532818,0.329834,0.101074,0.617187,-0.9721345220857307,-0.7218400648336661,0.8846469404822885,-0.32773322450964804,-0.7739187790031998,-0.5231536059942528
Normal,30.8,3.744889033148481e-15,30.8,30.8,1232.9686167225582,560.4990111131765,1997.330027157815,0.14402672236185893,0.04894072363482175,1.0733191819288426,0.15088290847191554,0.05122032337840995,0.23067068209510763,0.409912,0.143799,0.6772459999999999,0.32925691182291666,0.05692004902067738,-0.2590551517550615,-1.33551679418984,-1.2673254324117298,-1.0874113273421497
