timestamp_ms,temperature_c,accel_x_g,accel_y_g,accel_z_g,sound_amplitude,timestamp_rpi
2855,30.6,0.104722,-0.052492,0.695354,2161.1526504378744,2025-08-07 14:35:58.234
2955,30.6,-0.130141,0.001951,1.268108,1363.0437913279168,2025-08-07 14:35:58.305
3055,30.6,0.161363,-0.069582,0.753704,1966.3451634221483,2025-08-07 14:35:58.408
3155,30.6,0.034654,0.020994,0.907756,2135.0209518339007,2025-08-07 14:35:58.508
3255,30.6,-0.168959,0.036619,1.289104,608.4144291333603,2025-08-07 14:35:58.610
3355,30.6,-0.066176,-0.05298,1.009563,879.4711675310292,2025-08-07 14:35:58.722
3455,30.6,0.11815,0.035887,0.761516,1893.644102115772,2025-08-07 14:35:58.817
3555,30.6,-0.081801,-0.054201,1.245159,2114.6934078816885,2025-08-07 14:35:58.909
3655,30.6,0.099107,0.01074,0.873088,1951.904945837623,2025-08-07 14:35:59.015
3755,30.6,0.006333,0.029539,0.880413,1870.157298555329,2025-08-07 14:36:00.011
3855,30.6,-0.061049,-0.08301,1.20634,878.4443075178084,2025-08-07 14:36:00.011
3955,30.6,0.057359,0.033201,0.777874,791.964156751219,2025-08-07 14:36:00.011
4055,30.6,-0.050063,-0.049074,1.156047,405.7093162931984,2025-08-07 14:36:00.011
4155,30.6,-0.000747,0.063963,1.043987,1812.4939083267652,2025-08-07 14:36:00.011
4255,30.6,-0.002211,-0.033693,0.661174,793.6184159608114,2025-08-07 14:36:00.011
4355,30.6,0.058091,0.03198,1.320598,641.8341897240246,2025-08-07 14:36:00.011
4455,30.6,0.041978,0.014646,0.86137,1431.3113456018436,2025-08-07 14:36:00.011
4555,30.6,0.021714,-0.026613,1.112102,1418.361166630531,2025-08-07 14:36:00.011
4655,30.6,-0.047622,0.077635,1.299846,1745.4651455112532,2025-08-07 14:36:00.023
4755,30.6,0.109605,-0.106447,0.814739,1115.7707663759486,2025-08-07 14:36:00.108
4855,30.8,-0.001479,-0.081301,0.912151,343.24857021830945,2025-08-07 14:36:00.233
4955,30.8,0.098619,-0.059572,0.819377,2194.4229734912037,2025-08-07 14:36:00.307
5055,30.8,-0.101088,0.113523,1.300823,1979.169812676546,2025-08-07 14:36:01.311
5155,30.8,0.119126,-0.041018,0.828411,914.3553603844456,2025-08-07 14:36:01.311
5255,30.8,-0.027846,-0.040041,1.133342,1613.0676458116084,2025-08-07 14:36:01.311
5355,30.8,0.032212,0.055906,1.190959,1508.8185378616972,2025-08-07 14:36:01.311
5455,30.8,0.072984,-0.094973,0.875041,1915.9216922171624,2025-08-07 14:36:01.311
5555,30.8,-0.1277,0.132078,1.318401,1858.5967996187064,2025-08-07 14:36:01.311
5655,30.8,0.174791,-0.075441,0.677532,1891.268993010329,2025-08-07 14:36:01.311
5755,30.8,-0.171157,0.020262,1.309612,1749.969255803927,2025-08-07 14:36:01.311
5855,30.8,0.085923,-0.031984,0.936565,1476.435077407137,2025-08-07 14:36:01.311
5955,30.8,-0.157241,0.008787,1.221965,732.3439528219254,2025-08-07 14:36:01.319
6055,30.8,0.091783,-0.017336,1.011028,1011.1132697596096,2025-08-07 14:36:01.407
6155,30.8,0.029039,-0.013918,1.029583,1547.9966804944418,2025-08-07 14:36:01.506
6255,30.8,-0.114028,0.064695,1.183635,632.9453809071381,2025-08-07 14:36:02.514
6355,30.8,0.203111,-0.029299,0.792034,1717.1279124992188,2025-08-07 14:36:02.514
6455,30.8,-0.164565,0.024412,1.27592,2188.189590711414,2025-08-07 14:36:02.514
6555,30.8,0.178453,-0.043215,0.729778,890.0627229684201,2025-08-07 14:36:02.514
6655,30.8,-0.164077,0.03076,1.251262,459.50949154471766,2025-08-07 14:36:02.514
6755,30.8,0.090806,-0.037111,0.871135,2183.9696829192826,2025-08-07 14:36:02.514
6855,30.8,0.19774,-0.00049,0.758831,1184.515137179479,2025-08-07 14:36:02.514
6955,30.8,-0.002944,-0.03052,0.991741,1883.4974497527387,2025-08-07 14:36:02.514
7055,30.8,-0.058852,0.011473,1.242473,1038.4510648706869,2025-08-07 14:36:02.515
7155,30.8,0.085435,-0.033449,0.820598,1514.861837559097,2025-08-07 14:36:02.521
7255,30.8,-0.000747,0.016844,1.199749,1636.1033842255115,2025-08-07 14:36:02.609
7355,30.8,0.045396,-0.002932,0.888469,1005.8026718127724,2025-08-07 14:36:03.612
7455,30.8,0.025865,0.005613,1.153118,1717.3734209253143,2025-08-07 14:36:03.612
7555,30.8,0.037339,0.027098,0.868206,1969.550531158152,2025-08-07 14:36:03.612
7655,30.8,0.010972,-0.027102,1.211956,1349.0679103463383,2025-08-07 14:36:03.612
7755,30.8,0.060044,0.042723,0.75175,1563.2066220446886,2025-08-07 14:36:03.612
7855,30.8,-0.021987,-0.076906,1.268352,2175.121406549959,2025-08-07 14:36:03.612
7955,30.8,-0.034438,0.061277,0.923137,2116.6604259727874,2025-08-07 14:36:03.612
8055,30.8,-0.036147,-0.018801,1.138713,1929.2380650094244,2025-08-07 14:36:03.612
8155,30.8,-0.008803,0.034666,1.053264,2125.126946520232,2025-08-07 14:36:03.613
8255,30.8,0.103013,-0.048586,0.969036,1438.2772938000512,2025-08-07 14:36:03.617
8355,30.8,-0.141127,0.009764,1.269329,1899.8957010292013,2025-08-07 14:36:03.712
8455,30.8,0.190416,0.026121,0.694377,332.3013567362308,2025-08-07 14:36:03.808
8555,30.8,-0.125014,-0.033449,1.262981,1564.4582845557643,2025-08-07 14:36:04.818
8655,30.8,0.009507,-0.01465,0.926799,1354.9625157773771,2025-08-07 14:36:04.818
8755,30.8,0.075669,-0.016359,1.039836,2042.1967164749865,2025-08-07 14:36:04.818
8855,30.8,-0.027358,-0.022707,0.905315,1499.399070790956,2025-08-07 14:36:04.819
8955,30.8,-0.033706,-0.005373,0.80595,1583.8677565830585,2025-08-07 14:36:04.819
9055,30.8,0.048326,-0.002688,1.100627,671.5395409149751,2025-08-07 14:36:04.819
9155,30.8,-0.046157,-0.001223,1.129436,1407.3501716037365,2025-08-07 14:36:04.819
9255,30.8,0.106675,-0.005861,0.707561,1807.726252234404,2025-08-07 14:36:04.819
9355,30.8,-0.026381,0.0166,1.263225,2041.587072619958,2025-08-07 14:36:04.819
9455,30.8,-0.015639,-0.02173,0.941204,597.1614766121245,2025-08-07 14:36:04.837
9555,30.8,0.084458,-0.026613,0.885784,1668.5359876628756,2025-08-07 14:36:04.908
9655,30.8,-0.13185,0.001951,1.327678,1069.2103310614166,2025-08-07 14:36:05.013
9755,30.8,0.019029,-0.004396,0.812541,472.3159163938749,2025-08-07 14:36:05.107
9855,30.8,0.085923,-0.015383,1.01762,752.535057040373,2025-08-07 14:36:05.211
9955,30.8,-0.09059,0.005613,1.295452,585.3152570098325,2025-08-07 14:36:05.310
10055,30.8,-0.035659,-0.020021,0.926311,1953.7791792846224,2025-08-07 14:36:05.415
10155,30.8,0.135728,-0.025637,0.924846,1670.7712119960038,2025-08-07 14:36:05.518
