timestamp_rpi,timestamp_ms,temperature_c,accel_x_g,accel_y_g,accel_z_g,sound_amplitude,fault_type
2025-08-07 14:35:58.234,2855,30.6,0.104722,-0.052492,0.695354,2161.1526504378744,Normal
2025-08-07 14:35:58.305,2955,30.6,-0.130141,0.001951,1.268108,1363.0437913279168,Normal
2025-08-07 14:35:58.408,3055,30.6,0.161363,-0.069582,0.753704,1966.3451634221483,Normal
2025-08-07 14:35:58.508,3155,30.6,0.034654,0.020994,0.907756,2135.0209518339007,Normal
2025-08-07 14:35:58.610,3255,30.6,-0.168959,0.036619,1.289104,608.4144291333603,Normal
2025-08-07 14:35:58.722,3355,30.6,-0.066176,-0.05298,1.009563,879.4711675310292,Normal
2025-08-07 14:35:58.817,3455,30.6,0.11815,0.035887,0.761516,1893.644102115772,Normal
2025-08-07 14:35:58.909,3555,30.6,-0.081801,-0.054201,1.245159,2114.6934078816885,Normal
2025-08-07 14:35:59.015,3655,30.6,0.099107,0.01074,0.873088,1951.904945837623,Normal
2025-08-07 14:36:00.011,3755,30.6,0.006333,0.029539,0.880413,1870.157298555329,Normal
2025-08-07 14:36:00.011,3855,30.6,-0.061049,-0.08301,1.20634,878.4443075178084,Normal
2025-08-07 14:36:00.011,3955,30.6,0.057359,0.033201,0.777874,791.964156751219,Normal
2025-08-07 14:36:00.011,4055,30.6,-0.050063,-0.049074,1.156047,405.7093162931984,Normal
2025-08-07 14:36:00.011,4155,30.6,-0.000747,0.063963,1.043987,1812.4939083267648,Normal
2025-08-07 14:36:00.011,4255,30.6,-0.002211,-0.033693,0.661174,793.6184159608114,Normal
2025-08-07 14:36:00.011,4355,30.6,0.058091,0.03198,1.320598,641.8341897240246,Normal
2025-08-07 14:36:00.011,4455,30.6,0.041978,0.014646,0.86137,1431.3113456018436,Normal
2025-08-07 14:36:00.011,4555,30.6,0.021714,-0.026613,1.112102,1418.361166630531,Normal
2025-08-07 14:36:00.023,4655,30.6,-0.047622,0.077635,1.299846,1745.4651455112532,Normal
2025-08-07 14:36:00.108,4755,30.6,0.109605,-0.106447,0.814739,1115.7707663759486,Normal
2025-08-07 14:36:00.233,4855,30.8,-0.001479,-0.081301,0.912151,343.24857021830945,Normal
2025-08-07 14:36:00.307,4955,30.8,0.098619,-0.059572,0.819377,2194.422973491204,Normal
2025-08-07 14:36:01.311,5055,30.8,-0.101088,0.113523,1.300823,1979.169812676546,Normal
2025-08-07 14:36:01.311,5155,30.8,0.119126,-0.041018,0.828411,914.3553603844456,Normal
